Zipcode,Q3_20,Q4_20,Q1_21,Q2_21,Q3_21,Q4_21,Q1_22,Q2_22
10001,155.72,1723.82,3664.93,1169.74,2100.46,6938.74,9955.42,637.37
10002,144.71,2044.54,4827.25,1192.22,1463.04,4549.76,8665.39,509.8
10003,250.11,1543.23,3497.74,959.65,1900.78,7740.22,7171.46,783.65
10004,302.81,3162.74,5787.12,1110.32,2355.21,8478.82,9185.38,807.5
10005,308.33,1895.57,3756.89,1256.12,2866.22,8130.44,6463.23,650.89
10006,295.7,1803.77,3548.4,946.24,2276.89,8457.04,10970.49,975.81
10007,171.63,1845.13,3947.67,758.07,1759.31,7051.49,7666.53,915.4
10009,185.48,1761.99,4243.15,1175.83,1894.98,6444.31,8299.07,561.67
10010,182.9,1481.14,3145.15,824.54,1484.14,6071.42,7531.58,722.57
10011,158.79,1656.42,3121.84,812.11,2026.29,7309.13,8414.74,779.96
10012,280.75,1896.18,3619.54,997.76,1870.25,7709.91,6137.68,518.31
10013,156.15,1627.43,3882.89,950.78,1505.98,7283.44,9854.67,673.17
10014,154.94,1730.62,3227.17,820.82,2030.59,7535.57,5580.82,583.47
10016,208.2,2050.6,3806.57,923.17,2048.65,7925.43,7954.88,787.64
10017,89.66,1947.06,3394.55,871.03,1793.37,7378.34,9773.74,666.1
10018,195.07,1518.16,2993.93,1221.32,2510.49,7675.63,13256.38,636.1
10019,193.01,1640.53,3278.77,1075.31,2373.5,7164.13,10656.61,746.75
10021,159.14,1414.69,2513.34,568.95,1194.53,4470.8,5314.37,555.85
10022,135.93,1647.46,2870.92,598.77,1320.57,5512.04,6774.31,715.29
10023,142.44,1251.16,2669.05,513.09,1173.48,4880.02,8041.13,616.68
10024,124.98,1297.68,2586.79,525.57,1114.49,4333.02,7051.63,582.07
10025,150.62,1434.18,3109.59,724.72,1183.14,4261.08,8393.36,622.14
10026,188.79,1474.21,3843.34,905.22,1551.82,4743.38,8897.09,349.16
10027,151.43,1309.26,3610.73,1050.56,1364.48,4301.61,8415.56,547.36
10028,114.01,1492.48,2668.34,614.33,1135.71,5370.46,7137.37,664.97
10029,180.24,1660.6,4542.03,1335.9,1592.86,4187.93,10841.82,258.23
10030,133.26,1667.24,4089.53,1288.01,1609.17,3911.89,8411.37,181.08
10031,184.69,2044.94,4420.29,1111.42,1145.31,3493.52,8554.24,237.2
10032,198.25,2104.65,4494.77,916.72,1072.14,3198.98,7662.03,158.6
10033,215.32,2313.81,4595.19,840.77,892.03,3082.82,7908.69,223.86
10034,194.12,2083.23,4978.48,989.53,1034.53,3146.18,8013.39,175.18
10035,119.19,1694.09,4526.1,1254.26,1475.6,4196.92,9960.26,238.37
10036,209.22,2037.27,3997.48,1240.74,2720.04,9004.43,19168.83,1016.81
10037,192.38,1293.71,3683.86,1351.4,2255.54,4174.39,9175.99,283.75
10038,279.92,1797.54,3791.89,1089.03,1600.74,5860.6,7054.58,577.31
10039,165.56,1515.78,4069.07,1217.78,1479,3811.51,8704.68,158.2
10040,234.26,2178.96,4976.53,1016.7,1018.96,3363.95,8001.58,216.07
10044,94.26,1028.13,2279,676.85,1250.87,4138.16,7265.34,522.62
10065,207.89,1598.64,2810.11,749.13,1419.4,6864.03,9799.6,709.7
10069,175.02,1957.19,3596.12,1050.18,1511.64,5887.43,10597.41,779.69
10075,173.6,1844.24,3684.16,655.25,1245.42,5077.13,7355.33,724.69
10128,104.18,1577.9,3201.92,606.24,1306.38,5397.97,7705.08,698.45
10280,74.9,1144.85,2664.19,641.97,1134.15,4750.61,5499.56,641.97
10282,161.53,1346.02,1974.17,556.36,1130.67,5043.11,5886.65,556.36
10301,190.19,3310.65,5307.81,1783.82,2030.59,4256.53,10394.58,285.31
10302,178.53,3943.75,6718.96,2488.52,2385.71,4235.89,13172.89,162.3
10303,150.87,3141.9,5899.08,2172.55,2108.42,4541.23,12620.42,165.96
10304,224.41,3339.94,6114.09,2012.56,1890.82,4753.3,10764.71,257.84
10305,217,3395.09,6388.8,1799.04,1838.71,4277.11,10934.24,214.67
10306,238.62,4656.6,7319.11,2192.9,2533.74,5478.47,12235.17,297.31
10307,174.37,4218.03,6887.01,2380.62,2823.19,6042.02,9643.15,308.47
10308,224.66,3920.09,6508.89,1985.18,2551.91,5207.77,10455.8,321.93
10309,224.66,4195.55,7677.7,2313.34,3211.94,6730.52,10740.89,321.8
10310,311.43,4116.63,6074.67,2175.61,2388.92,5127.65,12021.41,260.22
10312,212.94,4080.1,6777.75,2017.94,2915.51,5893.27,11334.47,334.13
10314,235.61,3724.44,6141.13,1596.33,2004.89,4436.7,10437.33,287.49
10451,278.67,2077.4,5746.6,1545.38,1604.5,4625.57,11746.54,164.67
10452,321.77,2325.42,5915.24,1228.51,1257.76,3333.23,9789.6,73.12
10453,284.7,2427.63,5708.11,1290.08,1187.13,3379.63,9435.98,78.8
10454,169.19,2032.78,5971.5,1411.58,1580.77,4443.59,11274.19,163.9
10455,250.64,2045.65,5638.05,1427.43,1377.3,3692.67,11598.37,114.57
10456,198.52,1666.44,4765.38,1252.25,1151.37,3401.55,9442.78,99.79
10457,183.12,2021.1,5332.23,1319.85,1134,3617.66,10007.92,78.67
10458,239.3,2028.05,5685.25,1192.87,1215.86,3174.99,9613.19,107.57
10459,254.84,2164.05,6032.64,1462.2,1562.48,3563.61,10325.26,102.35
10460,234.4,2192.79,5943.13,1542.26,1455.63,3774.12,10885.83,101.91
10461,209.78,2635.55,6344.49,1387.03,1737.36,4191.63,11063.63,258.67
10462,262.9,2346.11,6175.31,1451.21,1433.95,3784.07,11301.76,143.4
10463,204.33,2063.33,5174.06,1001.65,1227.44,3523.66,8929.2,282.92
10464,70.02,3010.23,4153.65,980.1,1353.47,3220.26,7373.9,233.36
