Zipcode,Q4_20,Q1_21,Q2_21,Q3_21,Q4_21,Q1_22
10001,17553230.7,2377484.154,3435533.947,6206777.981,26500537.97,3578829.603
10002,5676416.546,1112642.874,1402872.988,1369416.455,4935133.33,2189706.931
10003,1989265.901,2168488.271,1967669.888,2256742.315,2709816.733,2476434.222
10004,2298691.381,1593203.167,2221265.111,1966467.008,2509405.693,1794315.553
10005,1072159.091,956045.4498,7592490.908,962379.2035,2454734.304,1253869.194
10006,432411.619,4691011.156,1399271.273,5636115.15,10374781.79,1531867.833
10007,2113335.557,3533784.401,3691814.705,3818020.7,4475003.475,2869976.801
10009,941621.6484,1060236.22,2126726.238,1141717.262,1921456.012,1695448.889
10010,1703615.296,1316604.561,2066410.762,1848210.781,4429994.211,1888653.98
10011,2259539.181,1715902.59,2788981.326,2343516.929,4566173.939,2431559.565
10012,2374630.585,2976699.659,5454199.853,3260916.604,4777202.157,5999660.52
10013,3191579.415,2577090.086,4446604.757,3396886.304,8818861.521,4637058.051
10014,3125865.238,3211079.146,2651336.291,2670838.337,3589196.46,2593039.831
10016,610174.4219,938601.8805,1113638.338,2049115.729,6156697.636,6994101.795
10017,2723591.846,873839.7093,2644851.015,1097177.076,4617819.371,1225412.45
10018,1916944.444,26809694.46,4241488.405,15510210.33,9874500,9871263.813
10019,4845070.478,2744621.32,3266424.573,3967993.753,6880718.587,5186081.092
10021,2743172.754,1627844.154,44960000,1921651.985,2805535.466,2282009.43
10022,1148849.501,1210541.848,1499822.371,1244284.546,2232895.949,1730844.182
10023,1530833.304,1237835.406,2324345.856,1817971.385,2758737.64,15145545.05
10024,1632380.608,1444756.611,2025979.038,2104685.989,3150824.688,2285318.325
10025,2338782.781,869637.2439,2152692.696,1240314.206,3320120.036,1759171.974
10026,1138344.244,1363900.332,1052140.496,1030810.462,3573602.25,971421.0084
10027,715786.1717,960170.1297,1007360.846,4364097.462,5110734.044,1132516.589
10028,1759556.178,1618219.777,1261569.177,2207053.056,2070947.786,6507251.794
10029,578098.791,799744.8366,3200574.198,1605809.675,12428517.82,1860081.264
10030,268620.9861,843893.5187,679624.4581,2339022.201,6029650.649,537575.9524
10031,843448.4333,390511.4333,1497470.147,670509.3169,2076228.032,634738.8809
10032,379322.8333,1298930.556,2082675.919,831728.3598,4787197.51,1143022.894
10033,1027075.392,638701.1435,1036296.296,1138515.686,1049612.012,2555557.393
10034,827611.1539,1570986.111,1229969.477,1463560.595,8824384.026,1464618.296
10035,940963.2593,1079871.035,1507839.901,903531.7461,1477106.209,941773.8095
10036,2960695.258,1096868.106,788836.1111,4694871.248,12310213.63,5081268.043
10037,249519.8889,1467708.333,13364335.46,623553.8889,4618127.5,486422
10038,1136726.712,2558360.478,432916.8667,1828463.355,4185139.126,2262982.998
10039,6416991.333,460923.6111,2497298.766,409583.3333,585592.7926,698420.6349
10040,875952.537,718979.125,847500,718592.9071,854730.7692,709588.6097
10044,818291.6667,321824.6111,480504.0737,1,675653.9929,955373.4167
10065,1850061.07,1735434.38,1054902.9,703008.9226,3980282.299,2204052.148
10069,1431889.61,1200575.285,2892741.805,2487460.882,1853065.5,1385157.869
10075,1139527.631,1678307.467,1810515.782,1756957.458,2092673.712,3622376.754
10128,1324819.36,1559451.647,2339958.587,2610786.052,2970972.217,2894842.21
10280,1592438.687,492114.6191,1536198.953,1669897.736,730715.1199,962749.7675
10282,1387500,3475000,719777.414,869152.0256,2175000,4305000
10301,450259.0932,408841.2966,2314375,3489734.933,744107.7364,1270804.413
10302,352800.3618,316642.236,467629.8061,446559.3293,836651.7679,349246.6667
10303,345149.4822,278613.9089,707818.1452,341116.351,474468.7466,816114.755
10304,519594.3552,396062.5294,362943.0711,351874.2151,699747.5249,475094.4172
10305,400013.0432,372508.0194,388198.5581,850660.7602,475787.554,444992.9372
10306,472741.3374,458385.0739,391786.6177,727607.1884,380646.2594,548685.1137
10307,562616.4955,634451.7092,471749.4174,516875.5208,1025424.15,712344.0164
10308,485459.1423,479610.4601,1326471.521,637705.3536,464390.4612,458570.2297
10309,721406.7159,748177.4686,456696.7832,536248.5722,614963.6141,597795.9425
10310,403642.1859,345482.6929,506089.2009,2706455.371,389557.5358,422060.3333
10312,477978.0838,444662.2421,429973.3493,463073.8494,508523.0548,563642.7439
10314,782453.6217,402174.145,423513.8197,551153.1446,481124.3841,539495.8635
10451,476225.9477,422953.5065,457159.9221,506946.7692,5012070.564,4172777.778
10452,2894704.278,664153.258,1156891.094,475183.9394,4931929.595,1057442.167
10453,805819.4444,853726.705,1579847.262,660806.1944,3039285.507,2060330.95
10454,10696194.45,993731.9049,2184389.32,739855.998,875507.2896,3862047.667
10455,1190123.883,1215827.533,4693426.259,1758039.445,747366.1616,6763346.371
10456,736447.143,219943.8809,297838.0102,1089394.444,837861.7777,3359174.505
10457,1180328.158,369528,1264229.201,1469589.094,1562790.922,1066825.005
10458,1907482.964,596954.1256,695870.9501,618997.5818,1550245.688,2218490.677
10459,391985.2549,583077.7778,1280300.585,1037232.405,688387.0989,677215.1667
10460,309326.6181,555422.6217,841311.3056,1184006.817,555682.711,546138.1843
10461,629753.833,516798.5182,464827.6825,311186.8648,606474.6828,524646.5574
10462,343410.3335,267106.2862,487865.7144,442994.2119,663861.05,547719.4803
10463,1096199.868,344804.362,337722.8098,460208.8471,627357.0536,677349.5114
10464,405694.7222,448969.3171,577444.3668,1743464.462,312332.8638,380019.2778
10465,405970.8345,379336.3814,586257.4603,399585.9298,585975.7028,507252.849
10466,538936.8316,350818.9196,458007.7616,441697.4652,540634.3491,417078.2153
10467,1090935.925,305337.6654,334065.0805,414743.9195,924556.1221,646863.4415
10468,3708685.298,688811.4902,847675.2101,1086183.186,1803111.905,909655.7222
10469,385091.3184,393578.5152,1324900.476,1881033.706,458167.178,449392.1583
